seed,index,split,source,scenario,filename,battery_id,resistance
42,0,train,virtual,充电短路,0.01Ω充电短路_1.xlsx,virtual_0,0.01
42,1,train,virtual,充电短路,0.01Ω充电短路_10.xlsx,virtual_0,0.01
42,2,train,virtual,充电短路,0.01Ω充电短路_11.xlsx,virtual_0,0.01
42,3,train,virtual,充电短路,0.01Ω充电短路_12.xlsx,virtual_0,0.01
42,4,train,virtual,充电短路,0.01Ω充电短路_13.xlsx,virtual_0,0.01
42,5,train,virtual,充电短路,0.01Ω充电短路_14.xlsx,virtual_0,0.01
42,6,train,virtual,充电短路,0.01Ω充电短路_15.xlsx,virtual_0,0.01
42,7,train,virtual,充电短路,0.01Ω充电短路_16.xlsx,virtual_0,0.01
42,8,train,virtual,充电短路,0.01Ω充电短路_17.xlsx,virtual_0,0.01
42,9,train,virtual,充电短路,0.01Ω充电短路_18.xlsx,virtual_0,0.01
42,10,train,virtual,充电短路,0.01Ω充电短路_19.xlsx,virtual_0,0.01
42,11,train,virtual,充电短路,0.01Ω充电短路_2.xlsx,virtual_0,0.01
42,12,train,virtual,充电短路,0.01Ω充电短路_20.xlsx,virtual_0,0.01
42,13,train,virtual,充电短路,0.01Ω充电短路_21.xlsx,virtual_0,0.01
42,14,train,virtual,充电短路,0.01Ω充电短路_22.xlsx,virtual_0,0.01
42,15,train,virtual,充电短路,0.01Ω充电短路_23.xlsx,virtual_0,0.01
42,16,train,virtual,充电短路,0.01Ω充电短路_24.xlsx,virtual_0,0.01
42,17,train,virtual,充电短路,0.01Ω充电短路_25.xlsx,virtual_0,0.01
42,18,train,virtual,充电短路,0.01Ω充电短路_26.xlsx,virtual_0,0.01
42,19,train,virtual,充电短路,0.01Ω充电短路_27.xlsx,virtual_0,0.01
42,20,train,virtual,充电短路,0.01Ω充电短路_28.xlsx,virtual_0,0.01
42,21,train,virtual,充电短路,0.01Ω充电短路_29.xlsx,virtual_0,0.01
42,22,train,virtual,充电短路,0.01Ω充电短路_3.xlsx,virtual_0,0.01
42,23,train,virtual,充电短路,0.01Ω充电短路_30.xlsx,virtual_0,0.01
42,24,train,virtual,充电短路,0.01Ω充电短路_31.xlsx,virtual_0,0.01
42,25,train,virtual,充电短路,0.01Ω充电短路_32.xlsx,virtual_0,0.01
42,26,train,virtual,充电短路,0.01Ω充电短路_33.xlsx,virtual_0,0.01
42,27,train,virtual,充电短路,0.01Ω充电短路_34.xlsx,virtual_0,0.01
42,28,train,virtual,充电短路,0.01Ω充电短路_35.xlsx,virtual_0,0.01
42,29,train,virtual,充电短路,0.01Ω充电短路_36.xlsx,virtual_0,0.01
42,30,train,virtual,充电短路,0.01Ω充电短路_37.xlsx,virtual_0,0.01
42,31,train,virtual,充电短路,0.01Ω充电短路_38.xlsx,virtual_0,0.01
42,32,train,virtual,充电短路,0.01Ω充电短路_39.xlsx,virtual_0,0.01
42,33,train,virtual,充电短路,0.01Ω充电短路_4.xlsx,virtual_0,0.01
42,34,train,virtual,充电短路,0.01Ω充电短路_40.xlsx,virtual_0,0.01
42,35,train,virtual,充电短路,0.01Ω充电短路_41.xlsx,virtual_0,0.01
42,36,train,virtual,充电短路,0.01Ω充电短路_42.xlsx,virtual_0,0.01
42,37,train,virtual,充电短路,0.01Ω充电短路_43.xlsx,virtual_0,0.01
42,38,train,virtual,充电短路,0.01Ω充电短路_44.xlsx,virtual_0,0.01
42,39,train,virtual,充电短路,0.01Ω充电短路_45.xlsx,virtual_0,0.01
42,40,train,virtual,充电短路,0.01Ω充电短路_46.xlsx,virtual_0,0.01
42,41,train,virtual,充电短路,0.01Ω充电短路_47.xlsx,virtual_0,0.01
42,42,train,virtual,充电短路,0.01Ω充电短路_48.xlsx,virtual_0,0.01
42,43,train,virtual,充电短路,0.01Ω充电短路_49.xlsx,virtual_0,0.01
42,44,train,virtual,充电短路,0.01Ω充电短路_5.xlsx,virtual_0,0.01
42,45,train,virtual,充电短路,0.01Ω充电短路_50.xlsx,virtual_0,0.01
42,46,train,virtual,充电短路,0.01Ω充电短路_6.xlsx,virtual_0,0.01
42,47,train,virtual,充电短路,0.01Ω充电短路_7.xlsx,virtual_0,0.01
42,48,train,virtual,充电短路,0.01Ω充电短路_8.xlsx,virtual_0,0.01
42,49,train,virtual,充电短路,0.01Ω充电短路_9.xlsx,virtual_0,0.01
42,50,train,virtual,充电短路,0.05Ω充电短路_1.xlsx,virtual_0,0.05
42,51,train,virtual,充电短路,0.05Ω充电短路_10.xlsx,virtual_0,0.05
42,52,train,virtual,充电短路,0.05Ω充电短路_11.xlsx,virtual_0,0.05
42,53,train,virtual,充电短路,0.05Ω充电短路_12.xlsx,virtual_0,0.05
42,54,train,virtual,充电短路,0.05Ω充电短路_13.xlsx,virtual_0,0.05
42,55,train,virtual,充电短路,0.05Ω充电短路_14.xlsx,virtual_0,0.05
42,56,train,virtual,充电短路,0.05Ω充电短路_15.xlsx,virtual_0,0.05
42,57,train,virtual,充电短路,0.05Ω充电短路_16.xlsx,virtual_0,0.05
42,58,train,virtual,充电短路,0.05Ω充电短路_17.xlsx,virtual_0,0.05
42,59,train,virtual,充电短路,0.05Ω充电短路_18.xlsx,virtual_0,0.05
